Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999937,999769,0,171,0,0,0,0,0,0,0,0,0
1,999937,999368,0,572,0,0,0,0,0,0,0,0,0
2,999937,999099,0,841,0,0,0,0,0,0,0,0,0
3,999937,999316,0,624,0,0,0,0,0,0,0,0,0
4,999937,998867,0,1072,0,0,0,0,0,0,0,0,0
5,999937,998461,0,1479,0,0,0,0,0,0,0,0,0
6,999937,998478,0,1462,0,0,0,0,0,0,0,0,0
7,999937,997999,0,1940,0,0,0,0,0,0,0,0,0
8,999937,998616,0,1322,0,0,0,0,0,0,0,0,0
