Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999328,993557,0,5827,0,0,0,0,0,0,0,0,0
1,999310,992758,0,6611,0,0,0,0,0,0,0,0,0
2,999341,990640,0,8748,0,0,0,0,0,0,0,0,0
3,999319,989131,0,10235,0,0,0,0,0,0,0,0,0
4,999287,989236,0,10089,0,0,0,0,0,0,0,0,0
5,999365,987802,0,11605,0,0,0,0,0,0,0,0,0
6,999322,984736,0,14623,0,0,0,0,0,0,0,0,0
7,999265,987395,0,11903,0,0,0,0,0,0,0,0,0
8,999283,988838,0,10468,0,0,0,0,0,0,0,0,0
