Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999957,979282,0,20865,0,0,0,0,0,0,0,0,0
1,999957,977000,0,23121,0,0,0,0,0,0,0,0,0
2,999957,974453,0,25670,0,0,0,0,0,0,0,0,0
3,999957,964893,0,35228,0,0,0,0,0,0,0,0,0
4,999957,963775,0,36325,0,0,0,0,0,0,0,0,0
5,999957,963200,0,36880,0,0,0,0,0,0,0,0,0
6,999957,963182,0,36890,0,0,0,0,0,0,0,0,0
7,999957,953179,0,46878,0,0,0,0,0,0,0,0,0
8,999957,958115,0,41938,0,0,0,0,0,0,0,0,0
