Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999837,998492,0,1353,0,0,0,0,0,0,0,0,0
1,999837,997949,0,1898,0,0,0,0,0,0,0,0,0
2,999845,997514,0,2336,0,0,0,0,0,0,0,0,0
3,999824,996852,0,2979,0,0,0,0,0,0,0,0,0
4,999827,995735,0,4095,0,0,0,0,0,0,0,0,0
5,999840,994891,0,4954,0,0,0,0,0,0,0,0,0
6,999846,995442,0,4408,0,0,0,0,0,0,0,0,0
7,999826,996440,0,3388,0,0,0,0,0,0,0,0,0
8,999835,993886,0,5952,0,0,0,0,0,0,0,0,0
