Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999939,996442,0,3524,0,0,0,0,0,0,0,0,0
1,999939,995738,0,4231,0,0,0,0,0,0,0,0,0
2,999939,996250,0,3720,0,0,0,0,0,0,0,0,0
3,999939,994663,0,5309,0,0,0,0,0,0,0,0,0
4,999939,993816,0,6152,0,0,0,0,0,0,0,0,0
5,999939,993965,0,6000,0,0,0,0,0,0,0,0,0
6,999939,992749,0,7216,0,0,0,0,0,0,0,0,0
7,999939,995124,0,4844,0,0,0,0,0,0,0,0,0
8,999939,993102,0,6863,0,0,0,0,0,0,0,0,0
