Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999908,999447,0,467,0,0,0,0,0,0,0,461,0
1,999908,998904,0,1012,0,0,0,0,0,0,0,1004,0
2,999908,998422,0,1494,0,0,0,0,0,0,0,1486,0
3,999908,998687,0,1227,0,0,0,0,0,0,0,1221,0
4,999908,997751,0,2166,0,0,0,0,0,0,0,2157,0
5,999908,997375,0,2539,0,0,0,0,0,0,0,2533,0
6,999908,996298,0,3617,0,0,0,0,0,0,0,3610,0
7,999908,996875,0,3037,0,0,0,0,0,0,0,3033,0
8,999908,995443,0,4469,0,0,0,0,0,0,0,4465,0
