Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999989,978225,0,21948,0,0,0,0,0,0,0,0,0
1,999989,972035,0,28127,0,0,0,0,0,0,0,0,0
2,999989,972490,0,27649,0,0,0,0,0,0,0,0,0
3,999989,966491,0,33646,0,0,0,0,0,0,0,0,0
4,999989,966773,0,33348,0,0,0,0,0,0,0,0,0
5,999989,959368,0,40744,0,0,0,0,0,0,0,0,0
6,999989,961600,0,38491,0,0,0,0,0,0,0,0,0
7,999989,958650,0,41447,0,0,0,0,0,0,0,0,0
8,999989,957341,0,42742,0,0,0,0,0,0,0,0,0
