Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,98025926,51677139,0,46441394,0,0,0,0,0,0,0,47901097,0
1,99086723,35754554,0,63390865,0,0,0,0,0,0,0,64087223,2673
2,99126189,28436460,0,70726658,0,0,0,0,0,0,0,71452492,2794
3,99485314,20262885,0,79244994,0,0,0,0,0,0,0,79692448,5229
4,99532937,17488046,0,82059835,0,0,0,0,0,0,0,82481738,4829
5,99614421,12137111,0,87486966,0,0,0,0,0,0,0,87842664,3916
6,99635734,7906325,0,91736226,0,0,0,0,0,0,0,92076322,5051
7,99673992,5280449,0,94398441,0,0,0,0,0,0,0,94706078,2993
8,99695804,3792039,0,95907702,0,0,0,0,0,0,0,96196824,1558
9,99733962,3008097,0,96729162,0,0,0,0,0,0,0,96983068,1127
10,99759051,2292428,0,97469509,0,0,0,0,0,0,0,97699451,446
11,99785525,1854904,0,97933138,0,0,0,0,0,0,0,98138000,409
12,99806234,1495921,0,98312572,0,0,0,0,0,0,0,98497543,157
13,99831239,1415196,0,98418040,0,0,0,0,0,0,0,98579932,111
14,99848669,1217945,0,98632520,0,0,0,0,0,0,0,98777731,0
15,99866976,1054310,0,98814246,0,0,0,0,0,0,0,98941366,0
16,99880592,849248,0,99032743,0,0,0,0,0,0,0,99147010,0
17,99897014,729496,0,99168745,0,0,0,0,0,0,0,99266762,0
18,99911319,669076,0,99243329,0,0,0,0,0,0,0,99327182,0
19,99921084,514728,0,99407305,0,0,0,0,0,0,0,99482553,0
20,99931958,412514,0,99520253,0,0,0,0,0,0,0,99585155,0
21,99940261,375895,0,99565076,0,0,0,0,0,0,0,99621774,0
22,99946023,320038,0,99626606,0,0,0,0,0,0,0,99677666,0
23,99954610,278129,0,99677010,0,0,0,0,0,0,0,99719575,0
24,99963804,246306,0,99717955,0,0,0,0,0,0,0,99751896,0
25,99968836,195208,0,99774010,0,0,0,0,0,0,0,99802994,0
26,99973497,151059,0,99822755,0,0,0,0,0,0,0,99847230,0
27,99976276,117895,0,99858643,0,0,0,0,0,0,0,99880394,0
28,99978999,100290,0,99878933,0,0,0,0,0,0,0,99897999,0
29,99980854,72550,0,99908489,0,0,0,0,0,0,0,99925739,0
30,99983833,74655,0,99909330,0,0,0,0,0,0,0,99923634,0
31,99985426,63666,0,99921885,0,0,0,0,0,0,0,99934623,0
