Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,998903,995969,0,2960,0,0,0,0,0,0,0,0,0
1,998900,996589,0,2339,0,0,0,0,0,0,0,0,0
2,998903,994916,0,4015,0,0,0,0,0,0,0,0,0
3,998931,994608,0,4349,0,0,0,0,0,0,0,0,0
4,998931,995674,0,3278,0,0,0,0,0,0,0,0,0
5,998917,994144,0,4793,0,0,0,0,0,0,0,0,0
6,998970,994656,0,4338,0,0,0,0,0,0,0,0,0
7,998897,992643,0,6279,0,0,0,0,0,0,0,0,0
8,998921,997188,0,1743,0,0,0,0,0,0,0,0,0
