Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999870,999870,0,0,0,0,0,0,0,0,0,0,0
1,999873,999773,0,102,0,0,0,0,0,0,0,0,0
2,999866,999791,0,76,0,0,0,0,0,0,0,0,0
3,999870,999393,0,479,0,0,0,0,0,0,0,0,0
4,999866,999375,0,492,0,0,0,0,0,0,0,0,0
5,999869,999377,0,493,0,0,0,0,0,0,0,0,0
6,999871,999371,0,501,0,0,0,0,0,0,0,0,0
7,999868,999255,0,614,0,0,0,0,0,0,0,0,0
8,999862,999236,0,627,0,0,0,0,0,0,0,0,0
