Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999901,938474,0,61922,0,0,0,0,0,0,0,0,0
1,999901,924040,0,76335,0,0,0,0,0,0,0,0,0
2,999906,900248,0,100102,0,0,0,0,0,0,0,0,0
3,999912,883078,0,117243,0,0,0,0,0,0,0,0,0
4,999920,846017,0,154350,0,0,0,0,0,0,0,0,0
5,999932,810684,0,189662,0,0,0,0,0,0,0,0,0
6,999936,775357,0,224929,0,0,0,0,0,0,0,0,0
7,999937,732813,0,267441,0,0,0,0,0,0,0,0,0
8,999954,680669,0,319543,0,0,0,0,0,0,0,0,0
