Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999920,996864,0,3078,0,0,0,0,0,0,0,0,0
1,999920,996647,0,3290,0,0,0,0,0,0,0,0,0
2,999923,994965,0,4981,0,0,0,0,0,0,0,0,0
3,999921,995769,0,4169,0,0,0,0,0,0,0,0,0
4,999919,994183,0,5753,0,0,0,0,0,0,0,0,0
5,999918,993968,0,5964,0,0,0,0,0,0,0,0,0
6,999920,990900,0,9032,0,0,0,0,0,0,0,0,0
7,999918,989898,0,10031,0,0,0,0,0,0,0,0,0
8,999925,987438,0,12498,0,0,0,0,0,0,0,0,0
