Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999354,999317,0,39,0,0,0,0,0,0,0,0,0
1,999382,998552,0,835,0,0,0,0,0,0,0,0,0
2,999390,998532,0,863,0,0,0,0,0,0,0,0,0
3,999368,998017,0,1356,0,0,0,0,0,0,0,0,0
4,999368,998754,0,616,0,0,0,0,0,0,0,0,0
5,999348,997664,0,1689,0,0,0,0,0,0,0,0,0
6,999390,997248,0,2146,0,0,0,0,0,0,0,0,0
7,999360,997196,0,2167,0,0,0,0,0,0,0,0,0
8,999363,996888,0,2478,0,0,0,0,0,0,0,0,0
