Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999869,999431,0,444,0,0,0,0,0,0,0,0,0
1,999869,999115,0,760,0,0,0,0,0,0,0,0,0
2,999869,998921,0,953,0,0,0,0,0,0,0,0,0
3,999869,999218,0,655,0,0,0,0,0,0,0,0,0
4,999869,999226,0,648,0,0,0,0,0,0,0,0,0
5,999869,998419,0,1456,0,0,0,0,0,0,0,0,0
6,999869,998580,0,1294,0,0,0,0,0,0,0,0,0
7,999869,997947,0,1927,0,0,0,0,0,0,0,0,0
8,999869,997313,0,2564,0,0,0,0,0,0,0,0,0
