Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999619,999125,0,499,0,0,0,0,0,0,0,0,0
1,999642,999047,0,602,0,0,0,0,0,0,0,0,0
2,999620,998724,0,901,0,0,0,0,0,0,0,0,0
3,999624,998475,0,1154,0,0,0,0,0,0,0,0,0
4,999631,998127,0,1508,0,0,0,0,0,0,0,0,0
5,999623,998269,0,1357,0,0,0,0,0,0,0,0,0
6,999634,998367,0,1269,0,0,0,0,0,0,0,0,0
7,999622,998409,0,1214,0,0,0,0,0,0,0,0,0
8,999629,996960,0,2674,0,0,0,0,0,0,0,0,0
