Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999212,972334,0,27084,0,0,0,0,0,0,0,0,0
1,999141,972740,0,26604,0,0,0,0,0,0,0,0,0
2,999190,963922,0,35461,0,0,0,0,0,0,0,0,0
3,999214,960047,0,39366,0,0,0,0,0,0,0,0,0
4,999145,957496,0,41806,0,0,0,0,0,0,0,0,0
5,999173,948435,0,50882,0,0,0,0,0,0,0,0,0
6,999141,947575,0,51698,0,0,0,0,0,0,0,0,0
7,999173,947422,0,51878,0,0,0,0,0,0,0,0,0
8,999180,935801,0,63483,0,0,0,0,0,0,0,0,0
