Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999934,998840,0,1098,0,0,0,0,0,0,0,0,0
1,999934,998499,0,1440,0,0,0,0,0,0,0,0,0
2,999934,997951,0,1992,0,0,0,0,0,0,0,0,0
3,999934,999069,0,873,0,0,0,0,0,0,0,0,0
4,999934,997152,0,2786,0,0,0,0,0,0,0,0,0
5,999934,997400,0,2539,0,0,0,0,0,0,0,0,0
6,999934,996831,0,3107,0,0,0,0,0,0,0,0,0
7,999934,997622,0,2317,0,0,0,0,0,0,0,0,0
8,999934,995900,0,4037,0,0,0,0,0,0,0,0,0
