Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,95991071,52870834,0,43206618,0,0,0,0,0,0,0,46327575,0
1,98117621,40267787,0,57908876,0,0,0,0,0,0,0,59556897,122
2,98697168,33429990,0,65314191,0,0,0,0,0,0,0,66490021,0
3,99093472,20991597,0,78132592,0,0,0,0,0,0,0,78988194,122
4,99257109,15528424,0,83752481,0,0,0,0,0,0,0,84459917,0
5,99484076,10770126,0,88730501,0,0,0,0,0,0,0,89226560,0
6,99580242,7553959,0,92038490,0,0,0,0,0,0,0,92443123,0
7,99709098,5237397,0,94480101,0,0,0,0,0,0,0,94759686,0
8,99764551,3786910,0,95984033,0,0,0,0,0,0,0,96210860,0
9,99836353,2706444,0,97134389,0,0,0,0,0,0,0,97291780,0
10,99880527,2061454,0,97822412,0,0,0,0,0,0,0,97936770,0
11,99909844,1448569,0,98463664,0,0,0,0,0,0,0,98549655,0
12,99936927,1037126,0,98901511,0,0,0,0,0,0,0,98961098,0
13,99951180,753920,0,99198514,0,0,0,0,0,0,0,99244304,0
14,99964144,520105,0,99444929,0,0,0,0,0,0,0,99478119,0
15,99975112,424931,0,99550807,0,0,0,0,0,0,0,99573293,0
16,99981168,267970,0,99713646,0,0,0,0,0,0,0,99730254,0
17,99984776,177858,0,99807224,0,0,0,0,0,0,0,99820366,0
18,99988994,144520,0,99844692,0,0,0,0,0,0,0,99853704,0
19,99992828,96876,0,99896112,0,0,0,0,0,0,0,99901348,0
20,99993888,63475,0,99930522,0,0,0,0,0,0,0,99934749,0
21,99995557,45229,0,99950399,0,0,0,0,0,0,0,99952995,0
22,99995711,25474,0,99970289,0,0,0,0,0,0,0,99972750,0
23,99996241,9997,0,99986276,0,0,0,0,0,0,0,99988227,0
24,99996887,14852,0,99982061,0,0,0,0,0,0,0,99983372,0
25,99997904,15730,0,99982194,0,0,0,0,0,0,0,99982494,0
26,99997730,8235,0,99989508,0,0,0,0,0,0,0,99989989,0
27,99997860,6504,0,99991364,0,0,0,0,0,0,0,99991720,0
28,99998103,2381,0,99995728,0,0,0,0,0,0,0,99995843,0
29,99998137,4524,0,99993618,0,0,0,0,0,0,0,99993700,0
30,99998216,1704,0,99996516,0,0,0,0,0,0,0,99996520,0
31,99998216,381,0,99997837,0,0,0,0,0,0,0,99997843,0
