Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999810,999573,0,241,0,0,0,0,0,0,0,0,0
1,999836,999163,0,680,0,0,0,0,0,0,0,0,0
2,999808,998305,0,1508,0,0,0,0,0,0,0,0,0
3,999819,998161,0,1663,0,0,0,0,0,0,0,0,0
4,999824,998948,0,879,0,0,0,0,0,0,0,0,0
5,999810,998654,0,1160,0,0,0,0,0,0,0,0,0
6,999832,997739,0,2097,0,0,0,0,0,0,0,0,0
7,999835,998440,0,1396,0,0,0,0,0,0,0,0,0
8,999823,998061,0,1764,0,0,0,0,0,0,0,0,0
