Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999652,672934,0,327349,0,0,0,0,0,0,0,0,0
1,999668,522434,0,477755,0,0,0,0,0,0,0,0,0
2,999691,336636,0,663415,0,0,0,0,0,0,0,0,0
3,999696,191304,0,808612,0,0,0,0,0,0,0,0,0
4,999697,87282,0,912532,0,0,0,0,0,0,0,0,0
5,999697,30689,0,969053,0,0,0,0,0,0,0,0,0
6,999697,4488,0,995218,0,0,0,0,0,0,0,0,0
7,999697,1000,0,998699,0,0,0,0,0,0,0,0,0
8,999697,433,0,999265,0,0,0,0,0,0,0,0,0
