Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,998141,540348,0,458794,0,0,0,0,0,0,0,0,0
1,998141,366652,0,632097,0,0,0,0,0,0,0,0,0
2,998141,308463,0,690068,0,0,0,0,0,0,0,0,0
3,998141,200305,0,798072,0,0,0,0,0,0,0,0,0
4,998141,165500,0,832799,0,0,0,0,0,0,0,0,0
5,998141,102142,0,896092,0,0,0,0,0,0,0,0,0
6,998141,94216,0,903988,0,0,0,0,0,0,0,0,0
7,998141,53560,0,944632,0,0,0,0,0,0,0,0,0
8,998141,44329,0,953851,0,0,0,0,0,0,0,0,0
9,998141,40883,0,957294,0,0,0,0,0,0,0,0,0
10,998141,36373,0,961799,0,0,0,0,0,0,0,0,0
11,998141,25753,0,972413,0,0,0,0,0,0,0,0,0
12,998141,20880,0,977281,0,0,0,0,0,0,0,0,0
13,998141,17807,0,980355,0,0,0,0,0,0,0,0,0
14,998141,10962,0,987197,0,0,0,0,0,0,0,0,0
15,998141,5510,0,992646,0,0,0,0,0,0,0,0,0
