Thread ID,Busy Time,Task Time,Work Stealing Time,Work Steal Spin Time,Enqueue Time,Requeue Time,Successful Work Steal Time,Unsuccessful Work Steal Time,Allocation Time,Non Work Conserving Time,Distracted Time,Unpaired Time,Paired Time
0,999913,996602,0,3349,0,0,0,0,0,0,0,0,0
1,999911,995433,0,4513,0,0,0,0,0,0,0,0,0
2,999911,994663,0,5278,0,0,0,0,0,0,0,0,0
3,999909,991553,0,8391,0,0,0,0,0,0,0,0,0
4,999911,992614,0,7320,0,0,0,0,0,0,0,0,0
5,999907,992392,0,7537,0,0,0,0,0,0,0,0,0
6,999910,991732,0,8202,0,0,0,0,0,0,0,0,0
7,999911,990241,0,9697,0,0,0,0,0,0,0,0,0
8,999910,986509,0,13420,0,0,0,0,0,0,0,0,0
